   timestamp          x          y         theta        diff_angle
119.380500 0.0738673 0.0305458 -0.2031284 0.2031284
122.547000 0.0687671 0.3805382 -0.0822168 0.1209116
122.713500 0.0681954 0.4312186 -0.0669313 0.0152855
123.813500 0.0683377 0.8402070 -0.0214295 0.0455018
124.713500 0.0646782 1.2604138 -0.1466364 0.1252069
125.580500 0.0580531 1.6913445 -0.2403274 0.0936910
126.413500 0.0581113 2.1433115 -0.2042490 0.0360784
127.047500 0.0536442 2.5108123 -0.2414864 0.0372374
127.847000 0.0554057 2.9963450 -0.1074906 0.1339957
128.648500 0.0541754 3.5032802 -0.1521706 0.0446799
129.247000 0.0549301 3.8989604 -0.1566158 0.0044452
129.614500 0.0512685 4.1506872 -0.0968050 0.0598108
130.047000 0.0489402 4.4483790 -0.0168205 0.0799845
130.547500 0.0460079 4.7965450 -0.0763681 0.0595476
131.147000 0.0462113 5.2247157 -0.0481337 0.0282344
131.747000 0.0449367 5.6586967 -0.0850862 0.0369525
132.347000 0.0450698 6.1052103 -0.1185434 0.0334572
132.947000 0.0438173 6.5588479 -0.0372204 0.0813230
133.280500 0.0433338 6.8146076 -0.0065362 0.0306842
133.580500 0.0451256 7.0429416 -0.0386091 0.0320729
133.980500 0.0413666 7.3541107 -0.1113112 0.0727021
134.480500 0.0412397 7.7401466 -0.0597414 0.0515698
135.047000 0.0380422 8.1753139 -0.0194895 0.0402519
135.414000 0.0363065 8.4689894 0.0081536 0.0113359
135.914000 0.0397673 8.8643312 0.0897660 0.0816124
136.313500 0.0374199 9.1793737 0.0182601 0.0715059
136.713500 0.0351002 9.5006628 0.0729854 0.0547253
137.180500 0.0357139 9.8763666 0.1035290 0.0305436
137.480500 0.0333726 10.1183224 0.0919033 0.0116257
137.881000 0.0331319 10.4434309 0.0931894 0.0012861
138.280500 0.0325365 10.7672100 0.0870531 0.0061363
138.482000 0.0320995 10.9331779 0.0367528 0.0503003
138.780500 0.0281044 11.1781940 0.0229657 0.0137871
139.180500 0.0291563 11.5064211 -0.0198586 0.0031070
139.647500 0.0317931 11.8924503 -0.0548278 0.0349692
139.881000 0.0323964 12.0851536 -0.0407100 0.0141178
140.213500 0.0302920 12.3591213 -0.0629983 0.0222883
140.947500 0.0245987 12.9695835 -0.0941913 0.0311930
142.114000 0.0264879 13.9388428 -0.1311300 0.0369387
142.347500 0.0247859 14.1321707 -0.1048278 0.0263022
142.647000 0.0237080 14.3840609 -0.0787211 0.0261067
143.847000 0.0295629 15.3868647 0.2275500 0.1488290
144.514000 0.0867024 15.9489346 3.3945503 3.1670003
145.080500 0.2196628 16.3978481 9.2495594 5.8550091
145.347000 0.3105662 16.5942402 13.1252985 3.8757391
145.547000 0.3855166 16.7395382 15.6633892 2.5380907
145.780500 0.4698253 16.9043369 17.8553467 2.1919575
146.047000 0.5761517 17.0918808 20.7048702 2.8495235
146.283500 0.6888311 17.2482510 23.9367619 3.2318916
146.480500 0.7885482 17.3752232 26.3515949 2.4148331
146.747000 0.9225078 17.5383530 29.3903255 3.0387306
147.014500 1.0585040 17.6890736 31.8802624 2.4899368
147.213500 1.1731499 17.7924480 34.5986099 2.7183475
147.513500 1.3474290 17.9491463 38.0294418 3.4308319
147.780500 1.5050684 18.0780010 40.6803741 2.6509323
147.947000 1.6083059 18.1499519 42.9415665 2.2611923
148.180500 1.7619168 18.2453136 46.0976562 3.1560898
148.380500 1.8898344 18.3236694 48.1393204 2.0416641
148.680500 2.0811481 18.4381943 50.7574692 2.6181488
148.947000 2.2590301 18.5314426 53.1426468 2.3851776
149.147000 2.4005878 18.5873604 55.7892075 2.6465607
149.413500 2.5912647 18.6511669 59.1724205 3.3832130
149.613500 2.7343421 18.7065449 60.9304428 1.7580223
149.814500 2.8753467 18.7516727 62.6640358 1.7335930
150.013500 3.0160837 18.7939796 64.3903122 1.7262764
150.313500 3.2355227 18.8428612 67.7697067 3.3793945
150.513500 3.3889520 18.8587513 70.4097672 2.6400604
150.713500 3.5333526 18.8782177 72.5260696 2.1163025
151.013500 3.7523594 18.9051876 75.0887299 2.5626602
151.247000 3.9243715 18.9172535 77.0712357 1.9825058
151.447000 4.0730681 18.9145794 79.4079742 2.3367386
151.647000 4.2239075 18.9014664 82.0276642 2.6196899
